breed_id,breed,count
0,scottish_deerhound,126
1,maltese_dog,117
2,afghan_hound,116
3,entlebucher,115
4,bernese_mountain_dog,114
5,shih-tzu,112
6,great_pyrenees,111
7,pomeranian,111
8,basenji,110
9,samoyed,109
10,airedale,107
11,tibetan_terrier,107
12,leonberg,106
13,cairn,106
14,beagle,105
15,japanese_spaniel,105
16,australian_terrier,102
17,blenheim_spaniel,102
18,miniature_pinscher,102
19,irish_wolfhound,101
20,lakeland_terrier,99
21,saluki,99
22,papillon,96
23,whippet,95
24,siberian_husky,95
25,norwegian_elkhound,95
26,pug,94
27,chow,93
28,italian_greyhound,92
29,pembroke,92
30,ibizan_hound,91
31,border_terrier,91
32,newfoundland,91
33,lhasa,90
34,silky_terrier,90
35,bedlington_terrier,89
36,dandie_dinmont,89
37,irish_setter,88
38,sealyham_terrier,88
39,rhodesian_ridgeback,88
40,old_english_sheepdog,87
41,collie,87
42,boston_bull,87
43,english_foxhound,86
44,bouvier_des_flandres,86
45,african_hunting_dog,86
46,schipperke,86
47,kelpie,86
48,weimaraner,85
49,bloodhound,85
50,bluetick,85
51,saint_bernard,84
52,labrador_retriever,84
53,chesapeake_bay_retriever,83
54,norfolk_terrier,83
55,english_setter,83
56,wire-haired_fox_terrier,82
57,kerry_blue_terrier,82
58,scotch_terrier,82
59,yorkshire_terrier,82
60,groenendael,82
61,greater_swiss_mountain_dog,82
62,irish_terrier,82
63,basset,82
64,keeshond,81
65,west_highland_white_terrier,81
66,gordon_setter,81
67,malamute,81
68,affenpinscher,80
69,toy_poodle,80
70,clumber,80
71,mexican_hairless,80
72,dingo,80
73,standard_poodle,79
74,miniature_poodle,79
75,staffordshire_bullterrier,79
76,welsh_springer_spaniel,79
77,toy_terrier,79
78,sussex_spaniel,78
79,norwich_terrier,78
80,appenzeller,78
81,irish_water_spaniel,78
82,miniature_schnauzer,78
83,black-and-tan_coonhound,77
84,cardigan,76
85,dhole,76
86,shetland_sheepdog,76
87,rottweiler,76
88,english_springer,75
89,great_dane,75
90,german_short-haired_pointer,75
91,boxer,75
92,bull_mastiff,75
93,borzoi,75
94,pekinese,75
95,cocker_spaniel,74
96,american_staffordshire_terrier,74
97,doberman,74
98,brittany_spaniel,73
99,malinois,73
100,standard_schnauzer,72
101,flat-coated_retriever,72
102,redbone,72
103,border_collie,72
104,curly-coated_retriever,72
105,kuvasz,71
106,chihuahua,71
107,soft-coated_wheaten_terrier,71
108,french_bulldog,70
109,vizsla,70
110,tibetan_mastiff,69
111,german_shepherd,69
112,giant_schnauzer,69
113,walker_hound,69
114,otterhound,69
115,golden_retriever,67
116,brabancon_griffon,67
117,komondor,67
118,briard,66
119,eskimo_dog,66
