breed,count,breed_id
scottish_deerhound,126,0
maltese_dog,117,1
afghan_hound,116,2
entlebucher,115,3
bernese_mountain_dog,114,4
shih-tzu,112,5
great_pyrenees,111,6
pomeranian,111,7
basenji,110,8
samoyed,109,9
airedale,107,10
tibetan_terrier,107,11
leonberg,106,12
cairn,106,13
beagle,105,14
japanese_spaniel,105,15
australian_terrier,102,16
blenheim_spaniel,102,17
miniature_pinscher,102,18
irish_wolfhound,101,19
lakeland_terrier,99,20
saluki,99,21
papillon,96,22
whippet,95,23
siberian_husky,95,24
norwegian_elkhound,95,25
pug,94,26
chow,93,27
italian_greyhound,92,28
pembroke,92,29
ibizan_hound,91,30
border_terrier,91,31
newfoundland,91,32
lhasa,90,33
silky_terrier,90,34
bedlington_terrier,89,35
dandie_dinmont,89,36
irish_setter,88,37
sealyham_terrier,88,38
rhodesian_ridgeback,88,39
old_english_sheepdog,87,40
collie,87,41
boston_bull,87,42
english_foxhound,86,43
bouvier_des_flandres,86,44
african_hunting_dog,86,45
schipperke,86,46
kelpie,86,47
weimaraner,85,48
bloodhound,85,49
bluetick,85,50
saint_bernard,84,51
labrador_retriever,84,52
chesapeake_bay_retriever,83,53
norfolk_terrier,83,54
english_setter,83,55
wire-haired_fox_terrier,82,56
kerry_blue_terrier,82,57
scotch_terrier,82,58
yorkshire_terrier,82,59
groenendael,82,60
greater_swiss_mountain_dog,82,61
irish_terrier,82,62
basset,82,63
keeshond,81,64
west_highland_white_terrier,81,65
gordon_setter,81,66
malamute,81,67
affenpinscher,80,68
toy_poodle,80,69
clumber,80,70
mexican_hairless,80,71
dingo,80,72
standard_poodle,79,73
miniature_poodle,79,74
staffordshire_bullterrier,79,75
welsh_springer_spaniel,79,76
toy_terrier,79,77
sussex_spaniel,78,78
norwich_terrier,78,79
appenzeller,78,80
irish_water_spaniel,78,81
miniature_schnauzer,78,82
black-and-tan_coonhound,77,83
cardigan,76,84
dhole,76,85
shetland_sheepdog,76,86
rottweiler,76,87
english_springer,75,88
great_dane,75,89
german_short-haired_pointer,75,90
boxer,75,91
bull_mastiff,75,92
borzoi,75,93
pekinese,75,94
cocker_spaniel,74,95
american_staffordshire_terrier,74,96
doberman,74,97
brittany_spaniel,73,98
malinois,73,99
standard_schnauzer,72,100
flat-coated_retriever,72,101
redbone,72,102
border_collie,72,103
curly-coated_retriever,72,104
kuvasz,71,105
chihuahua,71,106
soft-coated_wheaten_terrier,71,107
french_bulldog,70,108
vizsla,70,109
tibetan_mastiff,69,110
german_shepherd,69,111
giant_schnauzer,69,112
walker_hound,69,113
otterhound,69,114
golden_retriever,67,115
brabancon_griffon,67,116
komondor,67,117
briard,66,118
eskimo_dog,66,119
