id,breed,breed_id,image
000bec180eb18c7604dcecc8fe0dba07,boston_bull,42,D:\GitWork\dog_breed\data\train\000bec180eb18c7604dcecc8fe0dba07.jpg
001513dfcb2ffafc82cccf4d8bbaba97,dingo,72,D:\GitWork\dog_breed\data\train\001513dfcb2ffafc82cccf4d8bbaba97.jpg
001cdf01b096e06d78e9e5112d419397,pekinese,94,D:\GitWork\dog_breed\data\train\001cdf01b096e06d78e9e5112d419397.jpg
00214f311d5d2247d5dfe4fe24b2303d,bluetick,50,D:\GitWork\dog_breed\data\train\00214f311d5d2247d5dfe4fe24b2303d.jpg
0021f9ceb3235effd7fcde7f7538ed62,golden_retriever,115,D:\GitWork\dog_breed\data\train\0021f9ceb3235effd7fcde7f7538ed62.jpg
002211c81b498ef88e1b40b9abf84e1d,bedlington_terrier,35,D:\GitWork\dog_breed\data\train\002211c81b498ef88e1b40b9abf84e1d.jpg
00290d3e1fdd27226ba27a8ce248ce85,bedlington_terrier,35,D:\GitWork\dog_breed\data\train\00290d3e1fdd27226ba27a8ce248ce85.jpg
002a283a315af96eaea0e28e7163b21b,borzoi,93,D:\GitWork\dog_breed\data\train\002a283a315af96eaea0e28e7163b21b.jpg
003df8b8a8b05244b1d920bb6cf451f9,basenji,8,D:\GitWork\dog_breed\data\train\003df8b8a8b05244b1d920bb6cf451f9.jpg
0042188c895a2f14ef64a918ed9c7b64,scottish_deerhound,0,D:\GitWork\dog_breed\data\train\0042188c895a2f14ef64a918ed9c7b64.jpg
004396df1acd0f1247b740ca2b14616e,shetland_sheepdog,86,D:\GitWork\dog_breed\data\train\004396df1acd0f1247b740ca2b14616e.jpg
0067dc3eab0b3c3ef0439477624d85d6,walker_hound,113,D:\GitWork\dog_breed\data\train\0067dc3eab0b3c3ef0439477624d85d6.jpg
00693b8bc2470375cc744a6391d397ec,maltese_dog,1,D:\GitWork\dog_breed\data\train\00693b8bc2470375cc744a6391d397ec.jpg
006cc3ddb9dc1bd827479569fcdc52dc,bluetick,50,D:\GitWork\dog_breed\data\train\006cc3ddb9dc1bd827479569fcdc52dc.jpg
0075dc49dab4024d12fafe67074d8a81,norfolk_terrier,54,D:\GitWork\dog_breed\data\train\0075dc49dab4024d12fafe67074d8a81.jpg
00792e341f3c6eb33663e415d0715370,african_hunting_dog,45,D:\GitWork\dog_breed\data\train\00792e341f3c6eb33663e415d0715370.jpg
007b5a16db9d9ff9d7ad39982703e429,wire-haired_fox_terrier,56,D:\GitWork\dog_breed\data\train\007b5a16db9d9ff9d7ad39982703e429.jpg
007b8a07882822475a4ce6581e70b1f8,redbone,102,D:\GitWork\dog_breed\data\train\007b8a07882822475a4ce6581e70b1f8.jpg
007ff9a78eba2aebb558afea3a51c469,lakeland_terrier,20,D:\GitWork\dog_breed\data\train\007ff9a78eba2aebb558afea3a51c469.jpg
008887054b18ba3c7601792b6a453cc3,boxer,91,D:\GitWork\dog_breed\data\train\008887054b18ba3c7601792b6a453cc3.jpg
008b1271ed1addaccf93783b39deab45,doberman,97,D:\GitWork\dog_breed\data\train\008b1271ed1addaccf93783b39deab45.jpg
008ba178d6dfc1a583617470d19c1673,otterhound,114,D:\GitWork\dog_breed\data\train\008ba178d6dfc1a583617470d19c1673.jpg
009509be3ca7cce0ff9e37c8b09b1125,otterhound,114,D:\GitWork\dog_breed\data\train\009509be3ca7cce0ff9e37c8b09b1125.jpg
0097c6242c6f3071762d9f85c3ef1b2f,bedlington_terrier,35,D:\GitWork\dog_breed\data\train\0097c6242c6f3071762d9f85c3ef1b2f.jpg
00a338a92e4e7bf543340dc849230e75,dingo,72,D:\GitWork\dog_breed\data\train\00a338a92e4e7bf543340dc849230e75.jpg
00a366d4b4a9bbb6c8a63126697b7656,golden_retriever,115,D:\GitWork\dog_breed\data\train\00a366d4b4a9bbb6c8a63126697b7656.jpg
00a862390341c5be090dd72bd2bc19ef,standard_schnauzer,100,D:\GitWork\dog_breed\data\train\00a862390341c5be090dd72bd2bc19ef.jpg
00b7d114bc5166a629a3cc03d9329120,irish_water_spaniel,81,D:\GitWork\dog_breed\data\train\00b7d114bc5166a629a3cc03d9329120.jpg
00ba244566e36e0af3d979320fd3017f,black-and-tan_coonhound,83,D:\GitWork\dog_breed\data\train\00ba244566e36e0af3d979320fd3017f.jpg
00bee065dcec471f26394855c5c2f3de,cairn,13,D:\GitWork\dog_breed\data\train\00bee065dcec471f26394855c5c2f3de.jpg
00ca18751837cd6a22813f8e221f7819,affenpinscher,68,D:\GitWork\dog_breed\data\train\00ca18751837cd6a22813f8e221f7819.jpg
00cc68a50b2d016a6b29af628ea4e04b,labrador_retriever,52,D:\GitWork\dog_breed\data\train\00cc68a50b2d016a6b29af628ea4e04b.jpg
00ddcec076073cc96f82c27bf4548fbc,ibizan_hound,30,D:\GitWork\dog_breed\data\train\00ddcec076073cc96f82c27bf4548fbc.jpg
00e9ed3fab1d2032603d1a90e557976f,english_setter,55,D:\GitWork\dog_breed\data\train\00e9ed3fab1d2032603d1a90e557976f.jpg
00f34ac0a16ef43e6fd1de49a26081ce,walker_hound,113,D:\GitWork\dog_breed\data\train\00f34ac0a16ef43e6fd1de49a26081ce.jpg
00fa641312604199831755f96109fde7,weimaraner,48,D:\GitWork\dog_breed\data\train\00fa641312604199831755f96109fde7.jpg
00fda6ecca54efbac26e907be4b0b78b,giant_schnauzer,112,D:\GitWork\dog_breed\data\train\00fda6ecca54efbac26e907be4b0b78b.jpg
0100f55e4f0fe28f2c0465d3fc4b9897,golden_retriever,115,D:\GitWork\dog_breed\data\train\0100f55e4f0fe28f2c0465d3fc4b9897.jpg
010d65bd29d246aea53d9849da142ccf,boston_bull,42,D:\GitWork\dog_breed\data\train\010d65bd29d246aea53d9849da142ccf.jpg
010e87fdf252645a827e37470e65e842,groenendael,60,D:\GitWork\dog_breed\data\train\010e87fdf252645a827e37470e65e842.jpg
011761e3ae8ec5e188e8f0bcb59bb8b6,lakeland_terrier,20,D:\GitWork\dog_breed\data\train\011761e3ae8ec5e188e8f0bcb59bb8b6.jpg
011bd7fd7c036dbb243d0e37329c77b7,irish_water_spaniel,81,D:\GitWork\dog_breed\data\train\011bd7fd7c036dbb243d0e37329c77b7.jpg
