id,breed,image,breed_id
000bec180eb18c7604dcecc8fe0dba07,boston_bull,D:\GitWork\dog_breed\data\raw\train\000bec180eb18c7604dcecc8fe0dba07.jpg,20
001513dfcb2ffafc82cccf4d8bbaba97,dingo,D:\GitWork\dog_breed\data\raw\train\001513dfcb2ffafc82cccf4d8bbaba97.jpg,38
001cdf01b096e06d78e9e5112d419397,pekinese,D:\GitWork\dog_breed\data\raw\train\001cdf01b096e06d78e9e5112d419397.jpg,86
00214f311d5d2247d5dfe4fe24b2303d,bluetick,D:\GitWork\dog_breed\data\raw\train\00214f311d5d2247d5dfe4fe24b2303d.jpg,16
0021f9ceb3235effd7fcde7f7538ed62,golden_retriever,D:\GitWork\dog_breed\data\raw\train\0021f9ceb3235effd7fcde7f7538ed62.jpg,50
002211c81b498ef88e1b40b9abf84e1d,bedlington_terrier,D:\GitWork\dog_breed\data\raw\train\002211c81b498ef88e1b40b9abf84e1d.jpg,11
00290d3e1fdd27226ba27a8ce248ce85,bedlington_terrier,D:\GitWork\dog_breed\data\raw\train\00290d3e1fdd27226ba27a8ce248ce85.jpg,11
002a283a315af96eaea0e28e7163b21b,borzoi,D:\GitWork\dog_breed\data\raw\train\002a283a315af96eaea0e28e7163b21b.jpg,19
003df8b8a8b05244b1d920bb6cf451f9,basenji,D:\GitWork\dog_breed\data\raw\train\003df8b8a8b05244b1d920bb6cf451f9.jpg,8
0042188c895a2f14ef64a918ed9c7b64,scottish_deerhound,D:\GitWork\dog_breed\data\raw\train\0042188c895a2f14ef64a918ed9c7b64.jpg,98
004396df1acd0f1247b740ca2b14616e,shetland_sheepdog,D:\GitWork\dog_breed\data\raw\train\004396df1acd0f1247b740ca2b14616e.jpg,100
0067dc3eab0b3c3ef0439477624d85d6,walker_hound,D:\GitWork\dog_breed\data\raw\train\0067dc3eab0b3c3ef0439477624d85d6.jpg,114
00693b8bc2470375cc744a6391d397ec,maltese_dog,D:\GitWork\dog_breed\data\raw\train\00693b8bc2470375cc744a6391d397ec.jpg,74
006cc3ddb9dc1bd827479569fcdc52dc,bluetick,D:\GitWork\dog_breed\data\raw\train\006cc3ddb9dc1bd827479569fcdc52dc.jpg,16
0075dc49dab4024d12fafe67074d8a81,norfolk_terrier,D:\GitWork\dog_breed\data\raw\train\0075dc49dab4024d12fafe67074d8a81.jpg,80
00792e341f3c6eb33663e415d0715370,african_hunting_dog,D:\GitWork\dog_breed\data\raw\train\00792e341f3c6eb33663e415d0715370.jpg,3
007b5a16db9d9ff9d7ad39982703e429,wire-haired_fox_terrier,D:\GitWork\dog_breed\data\raw\train\007b5a16db9d9ff9d7ad39982703e429.jpg,119
007b8a07882822475a4ce6581e70b1f8,redbone,D:\GitWork\dog_breed\data\raw\train\007b8a07882822475a4ce6581e70b1f8.jpg,90
007ff9a78eba2aebb558afea3a51c469,lakeland_terrier,D:\GitWork\dog_breed\data\raw\train\007ff9a78eba2aebb558afea3a51c469.jpg,69
008887054b18ba3c7601792b6a453cc3,boxer,D:\GitWork\dog_breed\data\raw\train\008887054b18ba3c7601792b6a453cc3.jpg,22
008b1271ed1addaccf93783b39deab45,doberman,D:\GitWork\dog_breed\data\raw\train\008b1271ed1addaccf93783b39deab45.jpg,39
008ba178d6dfc1a583617470d19c1673,otterhound,D:\GitWork\dog_breed\data\raw\train\008ba178d6dfc1a583617470d19c1673.jpg,84
009509be3ca7cce0ff9e37c8b09b1125,otterhound,D:\GitWork\dog_breed\data\raw\train\009509be3ca7cce0ff9e37c8b09b1125.jpg,84
0097c6242c6f3071762d9f85c3ef1b2f,bedlington_terrier,D:\GitWork\dog_breed\data\raw\train\0097c6242c6f3071762d9f85c3ef1b2f.jpg,11
00a338a92e4e7bf543340dc849230e75,dingo,D:\GitWork\dog_breed\data\raw\train\00a338a92e4e7bf543340dc849230e75.jpg,38
00a366d4b4a9bbb6c8a63126697b7656,golden_retriever,D:\GitWork\dog_breed\data\raw\train\00a366d4b4a9bbb6c8a63126697b7656.jpg,50
00a862390341c5be090dd72bd2bc19ef,standard_schnauzer,D:\GitWork\dog_breed\data\raw\train\00a862390341c5be090dd72bd2bc19ef.jpg,107
00b7d114bc5166a629a3cc03d9329120,irish_water_spaniel,D:\GitWork\dog_breed\data\raw\train\00b7d114bc5166a629a3cc03d9329120.jpg,59
00ba244566e36e0af3d979320fd3017f,black-and-tan_coonhound,D:\GitWork\dog_breed\data\raw\train\00ba244566e36e0af3d979320fd3017f.jpg,13
00bee065dcec471f26394855c5c2f3de,cairn,D:\GitWork\dog_breed\data\raw\train\00bee065dcec471f26394855c5c2f3de.jpg,27
00ca18751837cd6a22813f8e221f7819,affenpinscher,D:\GitWork\dog_breed\data\raw\train\00ca18751837cd6a22813f8e221f7819.jpg,1
00cc68a50b2d016a6b29af628ea4e04b,labrador_retriever,D:\GitWork\dog_breed\data\raw\train\00cc68a50b2d016a6b29af628ea4e04b.jpg,68
00ddcec076073cc96f82c27bf4548fbc,ibizan_hound,D:\GitWork\dog_breed\data\raw\train\00ddcec076073cc96f82c27bf4548fbc.jpg,56
00e9ed3fab1d2032603d1a90e557976f,english_setter,D:\GitWork\dog_breed\data\raw\train\00e9ed3fab1d2032603d1a90e557976f.jpg,41
00f34ac0a16ef43e6fd1de49a26081ce,walker_hound,D:\GitWork\dog_breed\data\raw\train\00f34ac0a16ef43e6fd1de49a26081ce.jpg,114
00fa641312604199831755f96109fde7,weimaraner,D:\GitWork\dog_breed\data\raw\train\00fa641312604199831755f96109fde7.jpg,115
00fda6ecca54efbac26e907be4b0b78b,giant_schnauzer,D:\GitWork\dog_breed\data\raw\train\00fda6ecca54efbac26e907be4b0b78b.jpg,49
0100f55e4f0fe28f2c0465d3fc4b9897,golden_retriever,D:\GitWork\dog_breed\data\raw\train\0100f55e4f0fe28f2c0465d3fc4b9897.jpg,50
010d65bd29d246aea53d9849da142ccf,boston_bull,D:\GitWork\dog_breed\data\raw\train\010d65bd29d246aea53d9849da142ccf.jpg,20
010e87fdf252645a827e37470e65e842,groenendael,D:\GitWork\dog_breed\data\raw\train\010e87fdf252645a827e37470e65e842.jpg,55
011761e3ae8ec5e188e8f0bcb59bb8b6,lakeland_terrier,D:\GitWork\dog_breed\data\raw\train\011761e3ae8ec5e188e8f0bcb59bb8b6.jpg,69
011bd7fd7c036dbb243d0e37329c77b7,irish_water_spaniel,D:\GitWork\dog_breed\data\raw\train\011bd7fd7c036dbb243d0e37329c77b7.jpg,59
011e06760794850c40f23d6426c40774,dhole,D:\GitWork\dog_breed\data\raw\train\011e06760794850c40f23d6426c40774.jpg,37
0120343862761d052d6a7ade81625c94,dingo,D:\GitWork\dog_breed\data\raw\train\0120343862761d052d6a7ade81625c94.jpg,38
01268f0007876a692907bda89468184c,affenpinscher,D:\GitWork\dog_breed\data\raw\train\01268f0007876a692907bda89468184c.jpg,1
012ff2d21dad14452ea16b4cda7eef4c,toy_poodle,D:\GitWork\dog_breed\data\raw\train\012ff2d21dad14452ea16b4cda7eef4c.jpg,111
013aed490e0e15a8989e12ae0d0ccfaa,border_terrier,D:\GitWork\dog_breed\data\raw\train\013aed490e0e15a8989e12ae0d0ccfaa.jpg,18
013c43f40f0fb13fa25ac0c2a70fd48f,lakeland_terrier,D:\GitWork\dog_breed\data\raw\train\013c43f40f0fb13fa25ac0c2a70fd48f.jpg,69
013f8fdf6d638c7bb042f5f17e8a9fdc,tibetan_terrier,D:\GitWork\dog_breed\data\raw\train\013f8fdf6d638c7bb042f5f17e8a9fdc.jpg,110
0140b05bfc2fd43f2819fab3d8566109,norwegian_elkhound,D:\GitWork\dog_breed\data\raw\train\0140b05bfc2fd43f2819fab3d8566109.jpg,81
014c2b0cd8e3b517e649cecf8543b8fe,african_hunting_dog,D:\GitWork\dog_breed\data\raw\train\014c2b0cd8e3b517e649cecf8543b8fe.jpg,3
0159b6457aac89f43d1c1931cdf7500b,irish_water_spaniel,D:\GitWork\dog_breed\data\raw\train\0159b6457aac89f43d1c1931cdf7500b.jpg,59
015b363b062f602e7ec04ce28e640d05,walker_hound,D:\GitWork\dog_breed\data\raw\train\015b363b062f602e7ec04ce28e640d05.jpg,114
015b4aa50dd9b4a0d26dc0c38f41b489,irish_water_spaniel,D:\GitWork\dog_breed\data\raw\train\015b4aa50dd9b4a0d26dc0c38f41b489.jpg,59
